Jogador,Clube Origem,Clube Destino
Fabrício,Bragantino B,RB Bragantino
Fabrício,SC Internacional,Figueirense
Fabrício Bruno,CR Flamengo,Cruzeiro EC
Fabrício Bruno,CR Flamengo,Cruzeiro EC
Fabrício Daniel,São Bernardo,Mirassol FC
Facundo Barceló,Ceará SC,Goiás
Facundo Bernal,Defensor SC,Fluminense FC
Facundo Castro,Ceará SC,Palestino
Facundo Torres,Orlando,SE Palmeiras
Fagner,SC Corinthians,Cruzeiro EC
Fagner,SC Corinthians,Cruzeiro EC
Fausto Vera,SC Corinthians,Atlético Mineiro
Fausto Vera,SC Corinthians,Atlético Mineiro
Felipe,Sport Recife,Goiás
Felipe Alves,Fluminense FC,Noroeste
Felipe Anderson,Lazio,SE Palmeiras
Felipe Andrade,Fluminense FC,Fluminense U23
Felipe Andrade,Fluminense FC,Houston
Felipe Carballo,Grêmio FBPA,New York
Felipe Cardoso,Atl. Alagoinhas,EC Vitória
Felipe Longo,Corinthians U20,SC Corinthians
Felipe Melo,Fluminense FC,Fim de carreira
Felipe Negrucci,São Paulo U20,São Paulo FC
Felipe Scheibig,Grêmio FBPA,Confiança
Felipe Valdívia,Mirassol FC,União São João
Felipe Valdívia,União São João,Mirassol FC
Felipe Vieira,EC Vitória,Chapecoense
Felipinho,Sport,EC Juventude
Felipinho,Sport Recife,Juventude
Fernandinho,Mirassol,Ceará SC
Fernandinho,Mirassol FC,Ceará SC
Fernando,RB Salzburg,RB Bragantino
Fernando Costa,Bragantino U20,RB Bragantino
Fernando Henrique,Cruzeiro EC,CRB
Fernando Henrique,Cruzeiro EC,Portuguesa
Fernando Henrique,Portuguesa,Cruzeiro EC
Fernando Henrique,Vila Nova,Cruzeiro EC
Fernando Sobral,Cuiabá,Ceará SC
Figueiredo,CR Vasco da Gama,América-MG
Figueiredo,Coritiba,CR Vasco da Gama
Filipe Machado,Cruzeiro EC,EC Vitória
Filipe Machado,Cruzeiro EC,EC Vitória
Filipe Machado,EC Vitória,Coritiba
Francis Amuzu,Anderlecht,Grêmio FBPA
Fábio,Grêmio FBPA,Fim de carreira
Fábio Gomes,Atlético Mineiro,Bolívar
Fábio Gomes,Paços Ferreira,Atlético Mineiro
Fábio Gomes,Sydney FC,Atlético Mineiro
Fábio Matheus,Sport Recife,Novorizontino
Fábio Soares,EC Vitória,Ferroviária
Gabriel,Athletico Paranaense,SC Internacional
Gabriel,Coritiba,EC Vitória
Gabriel,Cuiabá,Mirassol FC
Gabriel,EC Juventude,Coritiba
Gabriel,SC Internacional,RB Bragantino
Gabriel,SC Internacional,RB Bragantino
Gabriel Barbosa,CR Flamengo,Cruzeiro EC
Gabriel Barbosa,CR Flamengo,Cruzeiro EC
Gabriel Barros,Atlético-GO,SC Internacional
Gabriel Barros,Avaí,SC Internacional
Gabriel Barros,SC Internacional,Avaí
Gabriel Barros,SC Internacional,Criciúma
Gabriel Bontempo,Santos U20,Santos FC
Gabriel Carabajal,Puebla FC,Santos FC
Gabriel Carabajal,Santos FC,Newell's
Gabriel Fuentes,Junior FC,Fluminense FC
